v1;v2;v3;v4;v5;v6;v7;v8
3008;1207;989;3042;589;250;160;6967
3067;1305;947;3064;558;225;162;6826
2985;1196;900;3098;589;274;105;6847
2997;1207;953;3118;578;241;126;7021
3078;1244;932;3059;496;230;135;6813
3103;1241;929;3090;564;219;138;6888
3025;1175;924;3117;579;274;160;6897
3014;1241;1008;3056;549;299;128;6962
2924;1285;904;3073;574;264;162;6788
3053;1226;919;3112;518;296;158;6945
3002;1200;989;3034;565;257;143;6974
3073;1310;954;3069;575;230;171;6842
2977;1176;900;3103;581;275;107;6855
2990;1226;952;3121;577;225;128;7015
3071;1233;928;3065;512;235;134;6810
3105;1253;930;3107;553;219;123;6896
3025;1187;925;3106;576;295;153;6905
3014;1254;998;3051;547;309;129;6978
2905;1293;914;3067;564;260;161;6807
3061;1232;931;3107;527;300;165;6945
3011;1192;983;3046;575;260;149;6959
3075;1308;952;3067;561;225;159;6842
2978;1197;902;3095;571;274;107;6852
2987;1208;971;3132;568;245;131;7007
3069;1231;926;3084;488;238;129;6816
3098;1236;934;3100;554;218;122;6890
3032;1181;900;3115;576;272;144;6905
3018;1241;1002;3049;553;293;131;6960
2925;1283;912;3077;575;271;155;6807
3065;1228;918;3124;523;318;168;6947
2994;1205;967;3036;590;256;141;6959
3055;1326;964;3077;567;226;161;6848
2977;1201;884;3100;575;275;99;6846
2986;1213;959;3124;591;230;121;7004
3076;1243;940;3079;503;230;132;6807
3101;1245;928;3111;554;219;125;6890
3024;1193;922;3118;582;276;148;6899
3028;1248;999;3055;545;295;147;6958
2920;1294;898;3063;579;254;156;6798
3061;1224;917;3112;525;305;170;6941
2996;1208;986;3036;582;265;157;6973
3061;1304;946;3064;550;233;161;6825
2976;1195;884;3096;581;276;109;6846
2987;1226;969;3124;577;245;124;7005
3077;1239;930;3084;511;224;137;6810
3105;1253;931;3115;551;215;120;6888
3025;1187;912;3104;581;278;158;6900
3030;1256;1016;3067;553;313;136;6978
2925;1290;909;3071;562;260;143;6790
3071;1220;933;3114;524;300;182;6937
3006;1207;977;3048;587;250;151;6981
3059;1304;949;3062;551;245;159;6826
2960;1192;894;3098;582;274;116;6839
2991;1212;955;3123;589;233;122;7009
3069;1243;945;3059;498;238;129;6814
3100;1245;923;3094;548;219;122;6881
3030;1181;922;3106;586;280;154;6884
3019;1246;1001;3053;555;301;143;6959
2923;1294;919;3074;577;266;145;6788
3046;1219;937;3108;525;298;157;6941
3004;1208;990;3041;585;266;160;6959
3060;1314;948;3071;575;227;175;6840
2976;1180;894;3090;577;264;109;6847
2992;1214;967;3117;569;232;125;7013
3067;1235;938;3080;500;228;134;6817
3098;1249;936;3105;551;214;124;6886
3025;1177;918;3112;575;290;153;6901
3022;1262;1012;3051;558;309;127;6962
2919;1291;919;3078;583;271;159;6788
3056;1228;916;3112;524;304;164;6937
3002;1198;982;3044;582;260;161;6967
3054;1305;970;3071;573;235;169;6833
2982;1184;900;3101;580;275;111;6841
2988;1209;955;3132;579;225;124;7004
3075;1250;930;3061;511;239;128;6813
3096;1236;925;3095;558;217;134;6888
3025;1192;900;3123;579;291;153;6900
3019;1260;1006;3053;564;296;135;6954
2924;1288;904;3065;573;256;159;6809
3057;1229;921;3108;533;318;166;6942
3004;1205;979;3030;588;265;149;6967
